first_name,count
Maria,1
Krystyna,1
Anna,1
Barbara,1
Teresa,1
Elżbieta,1
Janina,1
Zofia,1
Jadwiga,1
Danuta,1
Halina,1
Irena,1
Ewa,1
Małgorzata,1
Helena,1
Grażyna,1
Bożena,1
Stanisława,1
Jolanta,1
Marianna,1
Urszula,1
Wanda,1
Alicja,1
Dorota,1
Agnieszka,1
Beata,1
Katarzyna,1
Joanna,1
Wiesława,1
Renata,2
Iwona,1
Genowefa,1
Kazimiera,1
Stefania,1
Hanna,1
Lucyna,1
Józefa,1
Alina,1
Mirosława,1
Aleksandra,1
Władysława,1
Henryka,1
Czesława,1
Lidia,1
Regina,1
Monika,1
Magdalena,1
Bogumiła,1
Marta,1
Marzena,1
Leokadia,1
Mariola,1
Bronisława,1
Aniela,1
Bogusława,1
Eugenia,1
Izabela,1
Cecylia,1
Emilia,1
Łucja,1
Gabriela,1
Sabina,1
Zdzisława,1
Agata,1
Edyta,1
Aneta,1
Daniela,1
Wioletta,1
Sylwia,1
Weronika,1
Antonina,1
Justyna,1
Gertruda,1
Mieczysława,1
Franciszka,1
Rozalia,1
Zuzanna,1
Natalia,3
Celina,1
Ilona,1
Alfreda,1
Wiktoria,1
Olga,1
Wacława,1
Róża,1
Karolina,1
Bernadeta,1
Julia,5
Michalina,1
Adela,1
Ludwika,1
Honorata,1
Aldona,1
Eleonora,1
Violetta,1
Felicja,1
Walentyna,1
Pelagia,1
Apolonia,1
Brygida,1
Zenona,1
Izabella,28
Romana,1
Zenobia,1
Waleria,1
Anita,1
Bożenna,1
Romualda,1
Marzanna,1
Anastazja,1
Kamila,1
Aurelia,1
Ewelina,1
Ludmiła,1
Hildegarda,1
Teodozja,1
Feliksa,1
Nina,1
Paulina,1
Longina,1
Julianna,1
Klara,1
Marlena,1
Teodora,1
Leonarda,1
Ryszarda,1
Liliana,1
Kinga,1
Lilianna,1
Albina,1
Elwira,1
Gizela,1
Bolesława,1
Otylia,1
Karina,1
Arleta,1
Marzenna,1
Melania,1
Kornelia,1
Salomea,1
Adelajda,1
Eryka,1
Dominika,1
Sławomira,1
Donata,1
Eliza,7
Tamara,1
Zyta,1
Bernadetta,1
Nadzieja,1
Bernarda,1
Irmina,1
Julita,1
Wiera,1
Dagmara,1
Wioleta,1
Matylda,1
Edwarda,1
Lilla,1
Klaudia,1
Żaneta,1
Tatiana,1
Elfryda,1
Patrycja,1
Anetta,1
Lilia,1
Teofila,1
Daria,1
Maryla,1
Rita,1
Amelia,5
Eulalia,1
Lila,1
Lucja,1
Leontyna,1
Luba,1
Kunegunda,1
Ruta,1
Sonia,2
Seweryna,1
Jarosława,1
Klementyna,1
Adriana,1
Edeltrauda,1
Filomena,1
Angelika,1
Tekla,1
Blandyna,1
Florentyna,1
Luiza,1
Gerda,1
Krzysztofa,1
Adrianna,1
Martyna,1
Inga,1
Balbina,1
Erna,1
Domicela,1
Zinaida,1
Bogna,1
Helga,1
Lubomira,1
Bernardyna,1
Maja,1
Kamilla,1
Benedykta,1
Ligia,1
Irmgarda,1
Leonia,1
Olimpia,1
Bogdana,1
Amalia,1
Eufemia,1
Hanka,1
Mirella,1
Laura,1
Milena,1
Raisa,1
Ludomira,1
Petronela,1
Wilhelmina,1
Konstancja,1
Mirela,1
Wincentyna,1
Marcela,1
Ingeborga,1
Benigna,1
Zenaida,1
Hieronima,1
Dobrosława,1
Sylwestra,1
Augustyna,1
Erika,1
Prakseda,1
Lena,1
Irma,1
Berta,1
Scholastyka,1
Roma,1
Marcelina,1
Blanka,1
Ernestyna,1
Judyta,1
Magda,1
Andżelika,1
Wirginia,1
Estera,1
Malwina,1
Ala,1
Narcyza,1
Hermina,1
Cyryla,1
Kalina,1
Adamina,1
Celestyna,1
Arletta,1
Jowita,1
Iwonna,1
Larysa,1
Lesława,1
Alojza,1
Dioniza,1
Diana,1
Stella,1
Ida,1
Marcjanna,1
Modesta,1
Aniceta,1
Serafina,1
Adolfina,1
Fryderyka,1
Ksenia,1
Emma,1
Ksawera,1
Sława,1
Wielisława,1
Otolia,1
Włodzimiera,1
Lucjanna,1
Gabryela,1
Wincenta,1
Iza,1
Izydora,1
Kornela,1
Radosława,1
Heronima,1
Natasza,1
Adolfa,1
Galina,1
Julitta,1
Bernardeta,1
Ada,1
Bibianna,1
Leona,1
Edmunda,1
Jagoda,1
Elza,1
Ludwina,1
Józefina,1
Zbigniewa,1